id,name,title,price,yuanjia,shuifei,fuwu,img,img2
1,福摩狗粮,Fromm福摩 三文鱼蔬菜配方全犬粮（5Lb）/2.27kg,249,273.9,22.7,香港5仓,../images/topRT.jpg,images/topRT.jpg
2,皇家狗粮,法国皇家ROYAL CANIN 小型犬离乳期奶糕1Kg MIS30,71,85.2,,,../images/topRT2.jpg,images/topRT2.jpg
3,渴望猫粮,Orijen渴望 六种鲜鱼海藻配方全猫粮5.4Kg,760,835,,香港4仓,../images/bottom1.jpg,images/bottom1.jpg
4,皇家猫粮,皇家ROYAL CANIN12月以下及怀孕期母猫幼猫粮2Kg K36,135,162,,,../images/bottom2.jpgimages/bottom1.jpg,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
